UA_cond [kW/C],UA_evap_sens [kW/C],COP [-]
0.7,0.25,4.144
0.7276,0.25,4.213
0.7552,0.25,4.278
0.7828,0.25,4.339
0.8103,0.25,4.397
0.8379,0.25,4.451
0.8655,0.25,4.501
0.8931,0.25,4.549
0.9207,0.25,4.595
0.9483,0.25,4.637
0.9759,0.25,4.678
1.003,0.25,4.716
1.031,0.25,4.753
1.059,0.25,4.787
1.086,0.25,4.819
1.114,0.25,4.85
1.141,0.25,4.88
1.169,0.25,4.909
1.197,0.25,4.936
1.224,0.25,4.962
1.252,0.25,4.987
1.279,0.25,5.012
1.307,0.25,5.035
1.334,0.25,5.057
1.362,0.25,5.079
1.39,0.25,5.1
1.417,0.25,5.12
1.445,0.25,5.14
1.472,0.25,5.159
1.5,0.25,5.177
0.7,0.2638,4.196
0.7276,0.2638,4.267
0.7552,0.2638,4.333
0.7828,0.2638,4.395
0.8103,0.2638,4.454
0.8379,0.2638,4.508
0.8655,0.2638,4.56
0.8931,0.2638,4.609
0.9207,0.2638,4.655
0.9483,0.2638,4.698
0.9759,0.2638,4.739
1.003,0.2638,4.777
1.031,0.2638,4.814
1.059,0.2638,4.849
1.086,0.2638,4.882
1.114,0.2638,4.914
1.141,0.2638,4.944
1.169,0.2638,4.974
1.197,0.2638,5.002
1.224,0.2638,5.029
1.252,0.2638,5.055
1.279,0.2638,5.08
1.307,0.2638,5.104
1.334,0.2638,5.127
1.362,0.2638,5.15
1.39,0.2638,5.171
1.417,0.2638,5.192
1.445,0.2638,5.212
1.472,0.2638,5.232
1.5,0.2638,5.251
0.7,0.2776,4.243
0.7276,0.2776,4.315
0.7552,0.2776,4.383
0.7828,0.2776,4.446
0.8103,0.2776,4.505
0.8379,0.2776,4.561
0.8655,0.2776,4.613
0.8931,0.2776,4.662
0.9207,0.2776,4.709
0.9483,0.2776,4.752
0.9759,0.2776,4.793
1.003,0.2776,4.832
1.031,0.2776,4.87
1.059,0.2776,4.906
1.086,0.2776,4.94
1.114,0.2776,4.972
1.141,0.2776,5.004
1.169,0.2776,5.034
1.197,0.2776,5.063
1.224,0.2776,5.09
1.252,0.2776,5.117
1.279,0.2776,5.143
1.307,0.2776,5.168
1.334,0.2776,5.192
1.362,0.2776,5.215
1.39,0.2776,5.237
1.417,0.2776,5.259
1.445,0.2776,5.28
1.472,0.2776,5.3
1.5,0.2776,5.32
0.7,0.2914,4.287
0.7276,0.2914,4.36
0.7552,0.2914,4.428
0.7828,0.2914,4.492
0.8103,0.2914,4.552
0.8379,0.2914,4.608
0.8655,0.2914,4.661
0.8931,0.2914,4.71
0.9207,0.2914,4.757
0.9483,0.2914,4.801
0.9759,0.2914,4.843
1.003,0.2914,4.883
1.031,0.2914,4.921
1.059,0.2914,4.958
1.086,0.2914,4.993
1.114,0.2914,5.026
