UA_cond [kW/C],UA_evap_sens [kW/C],COP [-]
1.141,0.2914,5.058
1.169,0.2914,5.089
1.197,0.2914,5.119
1.224,0.2914,5.148
1.252,0.2914,5.175
1.279,0.2914,5.202
1.307,0.2914,5.227
1.334,0.2914,5.252
1.362,0.2914,5.276
1.39,0.2914,5.299
1.417,0.2914,5.321
1.445,0.2914,5.343
1.472,0.2914,5.364
1.5,0.2914,5.384
0.7,0.3052,4.326
0.7276,0.3052,4.4
0.7552,0.3052,4.469
0.7828,0.3052,4.534
0.8103,0.3052,4.594
0.8379,0.3052,4.651
0.8655,0.3052,4.704
0.8931,0.3052,4.754
0.9207,0.3052,4.801
0.9483,0.3052,4.846
0.9759,0.3052,4.889
1.003,0.3052,4.93
1.031,0.3052,4.969
1.059,0.3052,5.006
1.086,0.3052,5.042
1.114,0.3052,5.076
1.141,0.3052,5.109
1.169,0.3052,5.141
1.197,0.3052,5.172
1.224,0.3052,5.201
1.252,0.3052,5.229
1.279,0.3052,5.257
1.307,0.3052,5.283
1.334,0.3052,5.309
1.362,0.3052,5.333
1.39,0.3052,5.357
1.417,0.3052,5.38
1.445,0.3052,5.403
1.472,0.3052,5.424
1.5,0.3052,5.445
0.7,0.319,4.362
0.7276,0.319,4.437
0.7552,0.319,4.507
0.7828,0.319,4.572
0.8103,0.319,4.633
0.8379,0.319,4.69
0.8655,0.319,4.743
0.8931,0.319,4.794
0.9207,0.319,4.842
0.9483,0.319,4.888
0.9759,0.319,4.932
1.003,0.319,4.973
1.031,0.319,5.013
1.059,0.319,5.051
1.086,0.319,5.088
1.114,0.319,5.123
1.141,0.319,5.157
1.169,0.319,5.19
1.197,0.319,5.221
1.224,0.319,5.251
1.252,0.319,5.28
1.279,0.319,5.308
1.307,0.319,5.335
1.334,0.319,5.362
1.362,0.319,5.387
1.39,0.319,5.412
1.417,0.319,5.435
1.445,0.319,5.458
1.472,0.319,5.481
1.5,0.319,5.503
0.7,0.3328,4.395
0.7276,0.3328,4.471
0.7552,0.3328,4.541
0.7828,0.3328,4.607
0.8103,0.3328,4.668
0.8379,0.3328,4.725
0.8655,0.3328,4.78
0.8931,0.3328,4.831
0.9207,0.3328,4.88
0.9483,0.3328,4.927
0.9759,0.3328,4.971
1.003,0.3328,5.014
1.031,0.3328,5.055
1.059,0.3328,5.094
1.086,0.3328,5.131
1.114,0.3328,5.167
1.141,0.3328,5.202
1.169,0.3328,5.235
1.197,0.3328,5.267
1.224,0.3328,5.298
1.252,0.3328,5.328
1.279,0.3328,5.357
1.307,0.3328,5.385
1.334,0.3328,5.412
1.362,0.3328,5.438
1.39,0.3328,5.463
1.417,0.3328,5.488
1.445,0.3328,5.511
1.472,0.3328,5.534
1.5,0.3328,5.557
0.7,0.3466,4.426
0.7276,0.3466,4.502
0.7552,0.3466,4.573
0.7828,0.3466,4.639
0.8103,0.3466,4.7
0.8379,0.3466,4.758
0.8655,0.3466,4.813
0.8931,0.3466,4.866
0.9207,0.3466,4.916
0.9483,0.3466,4.963
0.9759,0.3466,5.008
1.003,0.3466,5.052
1.031,0.3466,5.093
1.059,0.3466,5.133
1.086,0.3466,5.172
1.114,0.3466,5.208
1.141,0.3466,5.244
1.169,0.3466,5.278
1.197,0.3466,5.311
1.224,0.3466,5.342
1.252,0.3466,5.373
1.279,0.3466,5.403
1.307,0.3466,5.431
1.334,0.3466,5.459
1.362,0.3466,5.486
1.39,0.3466,5.512
1.417,0.3466,5.537
1.445,0.3466,5.561
1.472,0.3466,5.585
1.5,0.3466,5.608
0.7,0.3603,4.454
0.7276,0.3603,4.53
0.7552,0.3603,4.602
0.7828,0.3603,4.668
0.8103,0.3603,4.73
0.8379,0.3603,4.789
0.8655,0.3603,4.845
0.8931,0.3603,4.898
0.9207,0.3603,4.949
0.9483,0.3603,4.997
0.9759,0.3603,5.043
1.003,0.3603,5.087
1.031,0.3603,5.13
1.059,0.3603,5.17
1.086,0.3603,5.21
1.114,0.3603,5.247
1.141,0.3603,5.283
1.169,0.3603,5.318
1.197,0.3603,5.352
1.224,0.3603,5.384
1.252,0.3603,5.416
1.279,0.3603,5.446
1.307,0.3603,5.475
1.334,0.3603,5.504
1.362,0.3603,5.531
1.39,0.3603,5.558
1.417,0.3603,5.584
1.445,0.3603,5.609
1.472,0.3603,5.633
1.5,0.3603,5.657
0.7,0.3741,4.48
0.7276,0.3741,4.557
0.7552,0.3741,4.628
0.7828,0.3741,4.695
0.8103,0.3741,4.758
0.8379,0.3741,4.818
0.8655,0.3741,4.874
0.8931,0.3741,4.928
0.9207,0.3741,4.98
0.9483,0.3741,5.029
0.9759,0.3741,5.076
1.003,0.3741,5.121
1.031,0.3741,5.164
1.059,0.3741,5.206
1.086,0.3741,5.245
1.114,0.3741,5.284
1.141,0.3741,5.321
1.169,0.3741,5.356
1.197,0.3741,5.391
1.224,0.3741,5.424
1.252,0.3741,5.456
1.279,0.3741,5.487
1.307,0.3741,5.517
1.334,0.3741,5.546
1.362,0.3741,5.574
1.39,0.3741,5.602
1.417,0.3741,5.628
1.445,0.3741,5.654
1.472,0.3741,5.679
1.5,0.3741,5.703
0.7,0.3879,4.504
0.7276,0.3879,4.581
0.7552,0.3879,4.653
0.7828,0.3879,4.72
0.8103,0.3879,4.784
0.8379,0.3879,4.845
0.8655,0.3879,4.902
0.8931,0.3879,4.957
0.9207,0.3879,5.009
0.9483,0.3879,5.059
0.9759,0.3879,5.107
1.003,0.3879,5.153
1.031,0.3879,5.197
1.059,0.3879,5.239
1.086,0.3879,5.279
1.114,0.3879,5.318
1.141,0.3879,5.356
1.169,0.3879,5.393
1.197,0.3879,5.428
1.224,0.3879,5.462
1.252,0.3879,5.494
1.279,0.3879,5.526
1.307,0.3879,5.557
1.334,0.3879,5.587
1.362,0.3879,5.615
1.39,0.3879,5.643
1.417,0.3879,5.671
1.445,0.3879,5.697
1.472,0.3879,5.723
1.5,0.3879,5.748
0.7,0.4017,4.526
0.7276,0.4017,4.603
0.7552,0.4017,4.676
0.7828,0.4017,4.744
0.8103,0.4017,4.809
0.8379,0.4017,4.87
0.8655,0.4017,4.928
0.8931,0.4017,4.984
0.9207,0.4017,5.037
0.9483,0.4017,5.087
0.9759,0.4017,5.136
1.003,0.4017,5.182
1.031,0.4017,5.227
1.059,0.4017,5.27
1.086,0.4017,5.311
1.114,0.4017,5.351
1.141,0.4017,5.39
1.169,0.4017,5.427
1.197,0.4017,5.463
1.224,0.4017,5.497
1.252,0.4017,5.531
1.279,0.4017,5.563
1.307,0.4017,5.595
1.334,0.4017,5.625
1.362,0.4017,5.655
1.39,0.4017,5.683
1.417,0.4017,5.711
1.445,0.4017,5.738
1.472,0.4017,5.764
1.5,0.4017,5.79
0.7,0.4155,4.547
0.7276,0.4155,4.624
0.7552,0.4155,4.697
0.7828,0.4155,4.766
0.8103,0.4155,4.832
0.8379,0.4155,4.894
0.8655,0.4155,4.953
0.8931,0.4155,5.009
0.9207,0.4155,5.063
0.9483,0.4155,5.114
0.9759,0.4155,5.163
1.003,0.4155,5.211
1.031,0.4155,5.256
1.059,0.4155,5.3
1.086,0.4155,5.342
1.114,0.4155,5.383
1.141,0.4155,5.422
1.169,0.4155,5.46
1.197,0.4155,5.496
1.224,0.4155,5.531
1.252,0.4155,5.566
1.279,0.4155,5.599
1.307,0.4155,5.631
1.334,0.4155,5.662
1.362,0.4155,5.692
1.39,0.4155,5.721
1.417,0.4155,5.75
1.445,0.4155,5.777
1.472,0.4155,5.804
1.5,0.4155,5.83
0.7,0.4293,4.566
0.7276,0.4293,4.644
0.7552,0.4293,4.718
0.7828,0.4293,4.788
0.8103,0.4293,4.854
0.8379,0.4293,4.916
0.8655,0.4293,4.976
0.8931,0.4293,5.033
0.9207,0.4293,5.087
0.9483,0.4293,5.14
0.9759,0.4293,5.19
1.003,0.4293,5.238
1.031,0.4293,5.284
1.059,0.4293,5.328
1.086,0.4293,5.371
1.114,0.4293,5.412
1.141,0.4293,5.452
1.169,0.4293,5.491
1.197,0.4293,5.528
1.224,0.4293,5.564
1.252,0.4293,5.599
1.279,0.4293,5.632
1.307,0.4293,5.665
1.334,0.4293,5.697
1.362,0.4293,5.728
1.39,0.4293,5.757
1.417,0.4293,5.786
1.445,0.4293,5.815
1.472,0.4293,5.842
1.5,0.4293,5.869
0.7,0.4431,4.584
0.7276,0.4431,4.663
0.7552,0.4431,4.737
0.7828,0.4431,4.807
0.8103,0.4431,4.874
0.8379,0.4431,4.938
0.8655,0.4431,4.998
0.8931,0.4431,5.056
0.9207,0.4431,5.111
0.9483,0.4431,5.164
0.9759,0.4431,5.214
1.003,0.4431,5.263
1.031,0.4431,5.31
1.059,0.4431,5.355
1.086,0.4431,5.399
1.114,0.4431,5.441
1.141,0.4431,5.481
1.169,0.4431,5.52
1.197,0.4431,5.558
1.224,0.4431,5.595
1.252,0.4431,5.63
1.279,0.4431,5.665
1.307,0.4431,5.698
1.334,0.4431,5.73
1.362,0.4431,5.762
1.39,0.4431,5.792
1.417,0.4431,5.822
1.445,0.4431,5.85
1.472,0.4431,5.878
1.5,0.4431,5.906
0.7,0.4569,4.601
0.7276,0.4569,4.68
0.7552,0.4569,4.755
0.7828,0.4569,4.826
0.8103,0.4569,4.894
0.8379,0.4569,4.958
0.8655,0.4569,5.019
0.8931,0.4569,5.077
0.9207,0.4569,5.133
0.9483,0.4569,5.187
0.9759,0.4569,5.238
1.003,0.4569,5.288
1.031,0.4569,5.335
1.059,0.4569,5.381
1.086,0.4569,5.425
1.114,0.4569,5.468
1.141,0.4569,5.509
1.169,0.4569,5.549
1.197,0.4569,5.587
1.224,0.4569,5.624
1.252,0.4569,5.661
1.279,0.4569,5.695
1.307,0.4569,5.729
1.334,0.4569,5.762
1.362,0.4569,5.794
1.39,0.4569,5.825
1.417,0.4569,5.855
1.445,0.4569,5.885
1.472,0.4569,5.913
1.5,0.4569,5.941
0.7,0.4707,4.617
0.7276,0.4707,4.697
0.7552,0.4707,4.772
0.7828,0.4707,4.844
0.8103,0.4707,4.912
0.8379,0.4707,4.977
0.8655,0.4707,5.039
0.8931,0.4707,5.098
0.9207,0.4707,5.154
0.9483,0.4707,5.209
0.9759,0.4707,5.261
1.003,0.4707,5.311
1.031,0.4707,5.359
1.059,0.4707,5.405
1.086,0.4707,5.45
1.114,0.4707,5.494
1.141,0.4707,5.535
1.169,0.4707,5.576
1.197,0.4707,5.615
1.224,0.4707,5.653
1.252,0.4707,5.689
1.279,0.4707,5.725
1.307,0.4707,5.76
1.334,0.4707,5.793
1.362,0.4707,5.826
1.39,0.4707,5.857
1.417,0.4707,5.888
1.445,0.4707,5.918
1.472,0.4707,5.947
1.5,0.4707,5.975
0.7,0.4845,4.632
0.7276,0.4845,4.712
0.7552,0.4845,4.789
0.7828,0.4845,4.861
0.8103,0.4845,4.93
0.8379,0.4845,4.995
0.8655,0.4845,5.057
0.8931,0.4845,5.117
0.9207,0.4845,5.174
0.9483,0.4845,5.229
0.9759,0.4845,5.282
1.003,0.4845,5.333
1.031,0.4845,5.382
1.059,0.4845,5.429
1.086,0.4845,5.474
1.114,0.4845,5.518
1.141,0.4845,5.561
1.169,0.4845,5.602
1.197,0.4845,5.641
1.224,0.4845,5.68
1.252,0.4845,5.717
1.279,0.4845,5.753
1.307,0.4845,5.788
1.334,0.4845,5.822
1.362,0.4845,5.856
1.39,0.4845,5.888
1.417,0.4845,5.919
1.445,0.4845,5.949
1.472,0.4845,5.979
1.5,0.4845,6.008
0.7,0.4983,4.646
0.7276,0.4983,4.727
0.7552,0.4983,4.804
0.7828,0.4983,4.877
0.8103,0.4983,4.946
0.8379,0.4983,5.012
0.8655,0.4983,5.075
0.8931,0.4983,5.136
0.9207,0.4983,5.194
0.9483,0.4983,5.249
0.9759,0.4983,5.303
1.003,0.4983,5.354
1.031,0.4983,5.404
1.059,0.4983,5.451
1.086,0.4983,5.497
1.114,0.4983,5.542
1.141,0.4983,5.585
1.169,0.4983,5.627
1.197,0.4983,5.667
1.224,0.4983,5.706
1.252,0.4983,5.744
1.279,0.4983,5.78
1.307,0.4983,5.816
1.334,0.4983,5.851
1.362,0.4983,5.884
1.39,0.4983,5.917
1.417,0.4983,5.949
1.445,0.4983,5.98
1.472,0.4983,6.01
1.5,0.4983,6.039
0.7,0.5121,4.659
0.7276,0.5121,4.741
0.7552,0.5121,4.819
0.7828,0.5121,4.892
0.8103,0.5121,4.962
0.8379,0.5121,5.029
0.8655,0.5121,5.093
0.8931,0.5121,5.154
0.9207,0.5121,5.212
0.9483,0.5121,5.268
0.9759,0.5121,5.322
1.003,0.5121,5.374
1.031,0.5121,5.424
1.059,0.5121,5.473
1.086,0.5121,5.519
1.114,0.5121,5.565
1.141,0.5121,5.608
1.169,0.5121,5.65
1.197,0.5121,5.691
1.224,0.5121,5.731
1.252,0.5121,5.769
1.279,0.5121,5.807
1.307,0.5121,5.843
1.334,0.5121,5.878
1.362,0.5121,5.912
1.39,0.5121,5.945
1.417,0.5121,5.977
1.445,0.5121,6.009
1.472,0.5121,6.039
1.5,0.5121,6.069
0.7,0.5259,4.672
0.7276,0.5259,4.755
0.7552,0.5259,4.833
0.7828,0.5259,4.907
0.8103,0.5259,4.977
0.8379,0.5259,5.045
0.8655,0.5259,5.109
0.8931,0.5259,5.171
0.9207,0.5259,5.23
0.9483,0.5259,5.286
0.9759,0.5259,5.341
1.003,0.5259,5.394
1.031,0.5259,5.444
1.059,0.5259,5.493
1.086,0.5259,5.541
1.114,0.5259,5.586
1.141,0.5259,5.631
1.169,0.5259,5.673
1.197,0.5259,5.715
1.224,0.5259,5.755
1.252,0.5259,5.794
1.279,0.5259,5.832
1.307,0.5259,5.868
1.334,0.5259,5.904
1.362,0.5259,5.939
1.39,0.5259,5.972
1.417,0.5259,6.005
1.445,0.5259,6.037
1.472,0.5259,6.068
1.5,0.5259,6.098
0.7,0.5397,4.685
0.7276,0.5397,4.768
0.7552,0.5397,4.846
0.7828,0.5397,4.921
0.8103,0.5397,4.992
0.8379,0.5397,5.06
0.8655,0.5397,5.125
0.8931,0.5397,5.187
0.9207,0.5397,5.247
0.9483,0.5397,5.304
0.9759,0.5397,5.359
1.003,0.5397,5.412
1.031,0.5397,5.464
1.059,0.5397,5.513
1.086,0.5397,5.561
1.114,0.5397,5.607
1.141,0.5397,5.652
1.169,0.5397,5.695
1.197,0.5397,5.737
1.224,0.5397,5.778
1.252,0.5397,5.817
1.279,0.5397,5.856
1.307,0.5397,5.893
1.334,0.5397,5.929
1.362,0.5397,5.964
1.39,0.5397,5.998
1.417,0.5397,6.032
1.445,0.5397,6.064
1.472,0.5397,6.095
1.5,0.5397,6.126
0.7,0.5534,4.696
0.7276,0.5534,4.78
0.7552,0.5534,4.859
0.7828,0.5534,4.934
0.8103,0.5534,5.006
0.8379,0.5534,5.074
0.8655,0.5534,5.14
0.8931,0.5534,5.202
0.9207,0.5534,5.263
0.9483,0.5534,5.321
0.9759,0.5534,5.376
1.003,0.5534,5.43
1.031,0.5534,5.482
1.059,0.5534,5.532
1.086,0.5534,5.58
1.114,0.5534,5.627
1.141,0.5534,5.673
1.169,0.5534,5.716
1.197,0.5534,5.759
1.224,0.5534,5.8
1.252,0.5534,5.84
1.279,0.5534,5.879
1.307,0.5534,5.917
1.334,0.5534,5.953
1.362,0.5534,5.989
1.39,0.5534,6.024
1.417,0.5534,6.057
1.445,0.5534,6.09
1.472,0.5534,6.122
1.5,0.5534,6.153
0.7,0.5672,4.707
0.7276,0.5672,4.791
0.7552,0.5672,4.871
0.7828,0.5672,4.947
0.8103,0.5672,5.019
0.8379,0.5672,5.088
0.8655,0.5672,5.154
0.8931,0.5672,5.217
0.9207,0.5672,5.278
0.9483,0.5672,5.337
0.9759,0.5672,5.393
1.003,0.5672,5.447
1.031,0.5672,5.5
1.059,0.5672,5.55
1.086,0.5672,5.599
1.114,0.5672,5.647
1.141,0.5672,5.692
1.169,0.5672,5.737
1.197,0.5672,5.78
1.224,0.5672,5.822
1.252,0.5672,5.862
1.279,0.5672,5.901
1.307,0.5672,5.939
1.334,0.5672,5.977
1.362,0.5672,6.013
1.39,0.5672,6.048
1.417,0.5672,6.082
1.445,0.5672,6.115
1.472,0.5672,6.148
1.5,0.5672,6.179
0.7,0.581,4.718
0.7276,0.581,4.803
0.7552,0.581,4.883
0.7828,0.581,4.959
0.8103,0.581,5.032
0.8379,0.581,5.101
0.8655,0.581,5.168
0.8931,0.581,5.232
0.9207,0.581,5.293
0.9483,0.581,5.352
0.9759,0.581,5.409
1.003,0.581,5.464
1.031,0.581,5.517
1.059,0.581,5.568
1.086,0.581,5.617
1.114,0.581,5.665
1.141,0.581,5.712
1.169,0.581,5.756
1.197,0.581,5.8
1.224,0.581,5.842
1.252,0.581,5.883
1.279,0.581,5.923
1.307,0.581,5.962
1.334,0.581,5.999
1.362,0.581,6.036
1.39,0.581,6.071
1.417,0.581,6.106
1.445,0.581,6.139
1.472,0.581,6.172
1.5,0.581,6.204
0.7,0.5948,4.728
0.7276,0.5948,4.813
0.7552,0.5948,4.894
0.7828,0.5948,4.971
0.8103,0.5948,5.044
0.8379,0.5948,5.114
0.8655,0.5948,5.181
0.8931,0.5948,5.245
0.9207,0.5948,5.307
0.9483,0.5948,5.367
0.9759,0.5948,5.424
1.003,0.5948,5.48
1.031,0.5948,5.533
1.059,0.5948,5.585
1.086,0.5948,5.635
1.114,0.5948,5.683
1.141,0.5948,5.73
1.169,0.5948,5.775
1.197,0.5948,5.819
1.224,0.5948,5.862
1.252,0.5948,5.903
1.279,0.5948,5.944
1.307,0.5948,5.983
1.334,0.5948,6.021
1.362,0.5948,6.058
1.39,0.5948,6.094
1.417,0.5948,6.129
1.445,0.5948,6.163
1.472,0.5948,6.196
1.5,0.5948,6.228
0.7,0.6086,4.738
0.7276,0.6086,4.823
0.7552,0.6086,4.905
0.7828,0.6086,4.982
0.8103,0.6086,5.056
0.8379,0.6086,5.126
0.8655,0.6086,5.194
0.8931,0.6086,5.259
0.9207,0.6086,5.321
0.9483,0.6086,5.381
0.9759,0.6086,5.439
1.003,0.6086,5.495
1.031,0.6086,5.549
1.059,0.6086,5.601
1.086,0.6086,5.652
1.114,0.6086,5.7
1.141,0.6086,5.748
1.169,0.6086,5.794
1.197,0.6086,5.838
1.224,0.6086,5.881
1.252,0.6086,5.923
1.279,0.6086,5.964
1.307,0.6086,6.003
1.334,0.6086,6.042
1.362,0.6086,6.079
1.39,0.6086,6.116
1.417,0.6086,6.151
1.445,0.6086,6.186
1.472,0.6086,6.219
1.5,0.6086,6.252
0.7,0.6224,4.747
0.7276,0.6224,4.833
0.7552,0.6224,4.915
0.7828,0.6224,4.993
0.8103,0.6224,5.067
0.8379,0.6224,5.138
0.8655,0.6224,5.206
0.8931,0.6224,5.271
0.9207,0.6224,5.334
0.9483,0.6224,5.395
0.9759,0.6224,5.453
1.003,0.6224,5.51
1.031,0.6224,5.564
1.059,0.6224,5.617
1.086,0.6224,5.668
1.114,0.6224,5.717
1.141,0.6224,5.765
1.169,0.6224,5.811
1.197,0.6224,5.856
1.224,0.6224,5.9
1.252,0.6224,5.942
1.279,0.6224,5.983
1.307,0.6224,6.023
1.334,0.6224,6.062
1.362,0.6224,6.1
1.39,0.6224,6.137
1.417,0.6224,6.172
1.445,0.6224,6.207
1.472,0.6224,6.241
1.5,0.6224,6.275
0.7,0.6362,4.756
0.7276,0.6362,4.843
0.7552,0.6362,4.925
0.7828,0.6362,5.003
0.8103,0.6362,5.078
0.8379,0.6362,5.149
0.8655,0.6362,5.218
0.8931,0.6362,5.284
0.9207,0.6362,5.347
0.9483,0.6362,5.408
0.9759,0.6362,5.467
1.003,0.6362,5.524
1.031,0.6362,5.579
1.059,0.6362,5.632
1.086,0.6362,5.683
1.114,0.6362,5.733
1.141,0.6362,5.781
1.169,0.6362,5.828
1.197,0.6362,5.873
1.224,0.6362,5.917
1.252,0.6362,5.96
1.279,0.6362,6.002
1.307,0.6362,6.042
1.334,0.6362,6.082
1.362,0.6362,6.12
1.39,0.6362,6.157
1.417,0.6362,6.193
1.445,0.6362,6.229
1.472,0.6362,6.263
1.5,0.6362,6.297
0.7,0.65,4.765
0.7276,0.65,4.852
0.7552,0.65,4.934
0.7828,0.65,5.013
0.8103,0.65,5.088
0.8379,0.65,5.16
0.8655,0.65,5.229
0.8931,0.65,5.296
0.9207,0.65,5.359
0.9483,0.65,5.421
0.9759,0.65,5.48
1.003,0.65,5.538
1.031,0.65,5.593
1.059,0.65,5.647
1.086,0.65,5.698
1.114,0.65,5.749
1.141,0.65,5.797
1.169,0.65,5.844
1.197,0.65,5.89
1.224,0.65,5.935
1.252,0.65,5.978
1.279,0.65,6.02
1.307,0.65,6.061
1.334,0.65,6.1
1.362,0.65,6.139
1.39,0.65,6.177
1.417,0.65,6.213
1.445,0.65,6.249
1.472,0.65,6.284
1.5,0.65,6.318
