UA_cond [kW/C],UA_evap_sens [kW/C],COP [-]
0.7552,0.3466,4.359
0.7828,0.3466,4.423
0.8103,0.3466,4.485
0.8379,0.3466,4.545
0.8655,0.3466,4.603
0.8931,0.3466,4.658
0.9207,0.3466,4.711
0.9483,0.3466,4.761
0.9759,0.3466,4.809
1.003,0.3466,4.855
1.031,0.3466,4.9
1.059,0.3466,4.942
1.086,0.3466,4.982
1.114,0.3466,5.021
1.141,0.3466,5.058
1.169,0.3466,5.094
1.197,0.3466,5.129
1.224,0.3466,5.162
1.252,0.3466,5.193
1.279,0.3466,5.224
1.307,0.3466,5.254
1.334,0.3466,5.282
1.362,0.3466,5.309
1.39,0.3466,5.336
1.417,0.3466,5.361
1.445,0.3466,5.386
1.472,0.3466,5.41
1.5,0.3466,5.433
0.7,0.3603,4.247
0.7276,0.3603,4.318
0.7552,0.3603,4.387
0.7828,0.3603,4.452
0.8103,0.3603,4.516
0.8379,0.3603,4.578
0.8655,0.3603,4.637
0.8931,0.3603,4.693
0.9207,0.3603,4.747
0.9483,0.3603,4.798
0.9759,0.3603,4.847
1.003,0.3603,4.894
1.031,0.3603,4.939
1.059,0.3603,4.982
1.086,0.3603,5.023
1.114,0.3603,5.063
1.141,0.3603,5.101
1.169,0.3603,5.137
1.197,0.3603,5.172
1.224,0.3603,5.206
1.252,0.3603,5.238
1.279,0.3603,5.269
1.307,0.3603,5.299
1.334,0.3603,5.328
1.362,0.3603,5.356
1.39,0.3603,5.383
1.417,0.3603,5.409
1.445,0.3603,5.434
1.472,0.3603,5.458
1.5,0.3603,5.481
0.7,0.3741,4.27
0.7276,0.3741,4.343
0.7552,0.3741,4.413
0.7828,0.3741,4.48
0.8103,0.3741,4.546
0.8379,0.3741,4.609
0.8655,0.3741,4.669
0.8931,0.3741,4.726
0.9207,0.3741,4.781
0.9483,0.3741,4.833
0.9759,0.3741,4.883
1.003,0.3741,4.93
1.031,0.3741,4.976
1.059,0.3741,5.02
1.086,0.3741,5.061
1.114,0.3741,5.102
1.141,0.3741,5.14
1.169,0.3741,5.177
1.197,0.3741,5.213
1.224,0.3741,5.247
1.252,0.3741,5.28
1.279,0.3741,5.311
1.307,0.3741,5.342
1.334,0.3741,5.371
1.362,0.3741,5.399
1.39,0.3741,5.426
1.417,0.3741,5.453
1.445,0.3741,5.478
1.472,0.3741,5.503
1.5,0.3741,5.526
0.7,0.3879,4.292
0.7276,0.3879,4.366
0.7552,0.3879,4.437
0.7828,0.3879,4.507
0.8103,0.3879,4.574
0.8379,0.3879,4.638
0.8655,0.3879,4.699
0.8931,0.3879,4.757
0.9207,0.3879,4.813
0.9483,0.3879,4.865
0.9759,0.3879,4.916
1.003,0.3879,4.964
1.031,0.3879,5.011
1.059,0.3879,5.055
1.086,0.3879,5.097
1.114,0.3879,5.138
1.141,0.3879,5.177
1.169,0.3879,5.215
1.197,0.3879,5.251
1.224,0.3879,5.285
1.252,0.3879,5.319
1.279,0.3879,5.351
1.307,0.3879,5.381
1.334,0.3879,5.411
1.362,0.3879,5.44
1.39,0.3879,5.467
1.417,0.3879,5.494
1.445,0.3879,5.52
1.472,0.3879,5.544
1.5,0.3879,5.568
0.7,0.4017,4.312
0.7276,0.4017,4.388
0.7552,0.4017,4.461
0.7828,0.4017,4.533
0.8103,0.4017,4.601
0.8379,0.4017,4.666
0.8655,0.4017,4.727
0.8931,0.4017,4.786
0.9207,0.4017,4.842
0.9483,0.4017,4.896
0.9759,0.4017,4.947
1.003,0.4017,4.996
1.031,0.4017,5.043
1.059,0.4017,5.088
1.086,0.4017,5.131
1.114,0.4017,5.173
1.141,0.4017,5.212
1.169,0.4017,5.25
1.197,0.4017,5.287
1.224,0.4017,5.322
1.252,0.4017,5.355
1.279,0.4017,5.388
1.307,0.4017,5.419
1.334,0.4017,5.449
1.362,0.4017,5.478
1.39,0.4017,5.506
1.417,0.4017,5.533
1.445,0.4017,5.559
1.472,0.4017,5.584
1.5,0.4017,5.608
0.7,0.4155,4.332
0.7276,0.4155,4.409
0.7552,0.4155,4.484
0.7828,0.4155,4.557
0.8103,0.4155,4.626
0.8379,0.4155,4.692
0.8655,0.4155,4.754
0.8931,0.4155,4.814
0.9207,0.4155,4.871
0.9483,0.4155,4.925
0.9759,0.4155,4.977
1.003,0.4155,5.027
1.031,0.4155,5.074
1.059,0.4155,5.12
1.086,0.4155,5.163
1.114,0.4155,5.205
1.141,0.4155,5.245
1.169,0.4155,5.283
1.197,0.4155,5.32
1.224,0.4155,5.356
1.252,0.4155,5.39
1.279,0.4155,5.423
1.307,0.4155,5.454
1.334,0.4155,5.484
1.362,0.4155,5.514
1.39,0.4155,5.542
1.417,0.4155,5.569
1.445,0.4155,5.595
1.472,0.4155,5.62
1.5,0.4155,5.645
0.7,0.4293,4.35
0.7276,0.4293,4.429
0.7552,0.4293,4.506
0.7828,0.4293,4.58
0.8103,0.4293,4.649
0.8379,0.4293,4.716
0.8655,0.4293,4.779
0.8931,0.4293,4.84
0.9207,0.4293,4.897
0.9483,0.4293,4.952
0.9759,0.4293,5.005
1.003,0.4293,5.055
1.031,0.4293,5.103
1.059,0.4293,5.149
1.086,0.4293,5.193
1.114,0.4293,5.236
1.141,0.4293,5.276
1.169,0.4293,5.315
1.197,0.4293,5.352
1.224,0.4293,5.388
1.252,0.4293,5.422
1.279,0.4293,5.455
1.307,0.4293,5.487
