UA_cond [kW/C],UA_evap_sens [kW/C],COP [-]
0.7,0.25,3.84
0.7276,0.25,3.909
0.7552,0.25,3.97
0.7828,0.25,4.024
0.8103,0.25,4.073
0.8379,0.25,4.117
0.8655,0.25,4.158
0.8931,0.25,4.196
0.9207,0.25,4.232
0.9483,0.25,4.266
0.9759,0.25,4.298
1.003,0.25,4.329
1.031,0.25,4.359
1.059,0.25,4.388
1.086,0.25,4.416
1.114,0.25,4.443
1.141,0.25,4.47
1.169,0.25,4.496
1.197,0.25,4.523
1.224,0.25,4.548
1.252,0.25,4.573
1.279,0.25,4.597
1.307,0.25,4.621
1.334,0.25,4.643
1.362,0.25,4.664
1.39,0.25,4.685
1.417,0.25,4.705
1.445,0.25,4.725
1.472,0.25,4.744
1.5,0.25,4.762
0.7,0.2638,3.892
0.7276,0.2638,3.958
0.7552,0.2638,4.015
0.7828,0.2638,4.068
0.8103,0.2638,4.115
0.8379,0.2638,4.159
0.8655,0.2638,4.2
0.8931,0.2638,4.238
0.9207,0.2638,4.275
0.9483,0.2638,4.31
0.9759,0.2638,4.344
1.003,0.2638,4.377
1.031,0.2638,4.409
1.059,0.2638,4.44
1.086,0.2638,4.47
1.114,0.2638,4.501
1.141,0.2638,4.532
1.169,0.2638,4.561
1.197,0.2638,4.588
1.224,0.2638,4.615
1.252,0.2638,4.641
1.279,0.2638,4.666
1.307,0.2638,4.69
1.334,0.2638,4.713
1.362,0.2638,4.735
1.39,0.2638,4.757
1.417,0.2638,4.777
1.445,0.2638,4.797
1.472,0.2638,4.817
1.5,0.2638,4.835
0.7,0.2776,3.935
0.7276,0.2776,3.997
0.7552,0.2776,4.053
0.7828,0.2776,4.104
0.8103,0.2776,4.152
0.8379,0.2776,4.196
0.8655,0.2776,4.237
0.8931,0.2776,4.277
0.9207,0.2776,4.315
0.9483,0.2776,4.352
0.9759,0.2776,4.388
1.003,0.2776,4.423
1.031,0.2776,4.458
1.059,0.2776,4.494
1.086,0.2776,4.527
1.114,0.2776,4.56
1.141,0.2776,4.591
1.169,0.2776,4.621
1.197,0.2776,4.65
1.224,0.2776,4.677
1.252,0.2776,4.704
1.279,0.2776,4.729
1.307,0.2776,4.754
1.334,0.2776,4.778
1.362,0.2776,4.8
1.39,0.2776,4.822
1.417,0.2776,4.844
1.445,0.2776,4.864
1.472,0.2776,4.884
1.5,0.2776,4.903
0.7,0.2914,3.97
0.7276,0.2914,4.031
0.7552,0.2914,4.086
0.7828,0.2914,4.137
0.8103,0.2914,4.184
0.8379,0.2914,4.229
0.8655,0.2914,4.272
0.8931,0.2914,4.314
0.9207,0.2914,4.354
0.9483,0.2914,4.393
0.9759,0.2914,4.432
1.003,0.2914,4.472
1.031,0.2914,4.51
1.059,0.2914,4.546
1.086,0.2914,4.581
1.114,0.2914,4.614
1.141,0.2914,4.646
1.169,0.2914,4.677
1.197,0.2914,4.706
1.224,0.2914,4.734
1.252,0.2914,4.762
1.279,0.2914,4.788
1.307,0.2914,4.813
1.334,0.2914,4.837
1.362,0.2914,4.861
1.39,0.2914,4.883
1.417,0.2914,4.905
1.445,0.2914,4.926
1.472,0.2914,4.946
1.5,0.2914,4.966
0.7,0.3052,4
0.7276,0.3052,4.06
0.7552,0.3052,4.115
0.7828,0.3052,4.166
0.8103,0.3052,4.215
0.8379,0.3052,4.261
0.8655,0.3052,4.306
0.8931,0.3052,4.349
0.9207,0.3052,4.392
0.9483,0.3052,4.436
0.9759,0.3052,4.478
1.003,0.3052,4.519
1.031,0.3052,4.558
1.059,0.3052,4.595
1.086,0.3052,4.63
1.114,0.3052,4.664
1.141,0.3052,4.697
1.169,0.3052,4.728
1.197,0.3052,4.758
1.224,0.3052,4.787
1.252,0.3052,4.815
1.279,0.3052,4.842
1.307,0.3052,4.867
1.334,0.3052,4.892
1.362,0.3052,4.916
1.39,0.3052,4.939
1.417,0.3052,4.961
1.445,0.3052,4.983
1.472,0.3052,5.003
1.5,0.3052,5.023
0.7,0.319,4.026
0.7276,0.319,4.086
0.7552,0.319,4.141
0.7828,0.319,4.193
0.8103,0.319,4.243
0.8379,0.319,4.292
0.8655,0.319,4.338
0.8931,0.319,4.385
0.9207,0.319,4.432
0.9483,0.319,4.478
0.9759,0.319,4.521
1.003,0.319,4.562
1.031,0.319,4.602
1.059,0.319,4.64
1.086,0.319,4.676
1.114,0.319,4.711
1.141,0.319,4.744
1.169,0.319,4.776
1.197,0.319,4.807
1.224,0.319,4.836
1.252,0.319,4.865
1.279,0.319,4.892
1.307,0.319,4.918
1.334,0.319,4.943
1.362,0.319,4.968
1.39,0.319,4.991
1.417,0.319,5.013
1.445,0.319,5.035
